ageID|weekID|agegroup|ageyearmin|ageyearmax|agen
882|1730/06|90-100|90|99|2
883|1730/06|100 upwards|100|120|0
886|1730/07|under 2|0|1|198
887|1730/07|2-5|2|4|43
888|1730/07|5-10|5|9|23
889|1730/07|10-20|10|19|21
890|1730/07|20-30|20|29|61
891|1730/07|30-40|30|39|63
892|1730/07|40-50|40|49|54
893|1730/07|50-60|50|59|42
894|1730/07|60-70|60|69|48
895|1730/07|70-80|70|79|30
896|1730/07|80-90|80|89|15
897|1730/07|90-100|90|99|10
898|1730/07|100 upwards|100|120|0
901|1730/08|under 2|0|1|189
902|1730/08|2-5|2|4|43
903|1730/08|5-10|5|9|24
904|1730/08|10-20|10|19|18
905|1730/08|20-30|20|29|47
906|1730/08|30-40|30|39|48
907|1730/08|40-50|40|49|45
908|1730/08|50-60|50|59|39
909|1730/08|60-70|60|69|30
910|1730/08|70-80|70|79|22
911|1730/08|80-90|80|89|11
912|1730/08|90-100|90|99|2
913|1730/08|100 upwards|100|120|0
916|1730/09|under 2|0|1|190
917|1730/09|2-5|2|4|48
918|1730/09|5-10|5|9|27
919|1730/09|10-20|10|19|29
920|1730/09|20-30|20|29|44
921|1730/09|30-40|30|39|52
922|1730/09|40-50|40|49|45
923|1730/09|50-60|50|59|36
924|1730/09|60-70|60|69|51
925|1730/09|70-80|70|79|23
926|1730/09|80-90|80|89|27
927|1730/09|90-100|90|99|5
928|1730/09|100 upwards|100|120|0
931|1730/10|under 2|0|1|208
932|1730/10|2-5|2|4|46
933|1730/10|5-10|5|9|20
934|1730/10|10-20|10|19|19
935|1730/10|20-30|20|29|42
936|1730/10|30-40|30|39|54
937|1730/10|40-50|40|49|50
938|1730/10|50-60|50|59|36
939|1730/10|60-70|60|69|26
940|1730/10|70-80|70|79|24
941|1730/10|80-90|80|89|18
942|1730/10|90-100|90|99|1
943|1730/10|100 upwards|100|120|1
946|1730/11|under 2|0|1|197
947|1730/11|2-5|2|4|40
948|1730/11|5-10|5|9|20
949|1730/11|10-20|10|19|17
950|1730/11|20-30|20|29|43
951|1730/11|30-40|30|39|49
952|1730/11|40-50|40|49|52
953|1730/11|50-60|50|59|41
954|1730/11|60-70|60|69|36
955|1730/11|70-80|70|79|24
956|1730/11|80-90|80|89|12
957|1730/11|90-100|90|99|4
958|1730/11|100 upwards|100|120|0
961|1730/12|under 2|0|1|191
962|1730/12|2-5|2|4|45
963|1730/12|5-10|5|9|27
964|1730/12|10-20|10|19|20
965|1730/12|20-30|20|29|46
966|1730/12|30-40|30|39|55
967|1730/12|40-50|40|49|52
968|1730/12|50-60|50|59|35
969|1730/12|60-70|60|69|35
970|1730/12|70-80|70|79|35
971|1730/12|80-90|80|89|13
972|1730/12|90-100|90|99|1
973|1730/12|100 upwards|100|120|0
976|1730/13|under 2|0|1|191
977|1730/13|2-5|2|4|55
978|1730/13|5-10|5|9|23
979|1730/13|10-20|10|19|17
980|1730/13|20-30|20|29|52
981|1730/13|30-40|30|39|60
982|1730/13|40-50|40|49|42
983|1730/13|50-60|50|59|40
984|1730/13|60-70|60|69|47
985|1730/13|70-80|70|79|19
986|1730/13|80-90|80|89|25
987|1730/13|90-100|90|99|2
988|1730/13|100 upwards|100|120|0
991|1730/14|under 2|0|1|191
992|1730/14|2-5|2|4|61
993|1730/14|5-10|5|9|22
994|1730/14|10-20|10|19|13
995|1730/14|20-30|20|29|46
996|1730/14|30-40|30|39|56
997|1730/14|40-50|40|49|52
998|1730/14|50-60|50|59|39
999|1730/14|60-70|60|69|36
1000|1730/14|70-80|70|79|15
1001|1730/14|80-90|80|89|12
1002|1730/14|90-100|90|99|6
